2026-05-13 14:02:08, MOVE, v:1, k:ed@editorint, mode:PICK
2026-05-13 14:02:09, MOVE, v:1, k:ed@editorint, mode:BACK
2026-05-13 14:03:23, MOVE, v:1, k:ed@editorint, mode:PICK
2026-05-13 14:04:17, MOVE, v:1, k:ed@editorint, mode:BACK
2026-05-13 14:45:56, EXEC, v:1, k:ed@editorint, mode:FREE
2026-05-13 14:46:15, EXEC, v:1, k:ed@editorint, mode:FREE
2026-05-13 14:49:53, EXEC, v:1, k:ed@editorint, mode:FREE
2026-05-13 14:51:16, EXEC, v:1, k:ed@editorint, mode:FREE
2026-05-13 14:51:27, MOVE, v:1, k:ed@editorint, mode:PICK
2026-05-13 14:54:27, EXEC, v:1, k:ed@editorint, mode:FREE
2026-05-13 14:54:39, EXEC, v:1, k:ed@editorint, mode:FREE
2026-05-13 14:55:37, EXEC, v:1, k:ed@editorint, mode:FREE
2026-05-13 14:56:12, MOVE, v:1, k:ed@editorint, mode:EDIT
2026-05-13 14:56:12, MOVE, v:1, k:ed@editorint, mode:EDIT
2026-05-13 14:57:24, EXEC, v:1, k:ed@editorint, mode:FREE
2026-05-13 14:57:39, EXEC, v:1, k:ed@editorint, mode:FREE
2026-05-13 14:57:58, EXEC, v:1, k:ed@editorint, mode:FREE
2026-05-13 15:00:05, EXEC, v:1, k:ed@editorint, mode:FREE
2026-05-13 15:00:28, EXEC, v:1, k:ed@editorint, mode:FREE
2026-05-13 15:01:14, EXEC, v:1, k:ed@editorint, mode:FREE
2026-05-13 15:01:12, MOVE, v:1, k:ed@editorint, mode:EDIT
2026-05-13 15:01:12, MOVE, v:1, k:ed@editorint, mode:EDIT
2026-05-13 15:03:49, EXEC, v:1, k:ed@editorint, mode:FREE
2026-05-13 15:03:42, MOVE, v:1, k:ed@editorint, mode:EDIT
2026-05-13 15:03:42, MOVE, v:1, k:ed@editorint, mode:EDIT
2026-05-13 15:10:11, EXEC, v:1, k:ed@editorint, mode:FREE
2026-05-13 15:10:38, EXEC, v:1, k:ed@editorint, mode:FREE
2026-05-13 15:10:55, EXEC, v:1, k:ed@editorint, mode:FREE
2026-05-13 15:11:11, EXEC, v:1, k:ed@editorint, mode:FREE
2026-05-13 15:10:07, MOVE, v:1, k:ed@editorint, mode:EDIT
2026-05-13 15:10:07, MOVE, v:1, k:ed@editorint, mode:EDIT
2026-05-13 15:12:17, MOVE, v:1, k:ed@editorint, mode:BACK
