2026-06-17 10:25:20, MOVE, v:1, k:ed@distancia, mode:PICK
2026-06-17 10:25:59, MOVE, v:1, k:ed@distancia, mode:BACK
2026-06-17 10:35:11, MOVE, v:1, k:ed@distancia, mode:EDIT
2026-06-17 10:35:11, MOVE, v:1, k:ed@distancia, mode:EDIT
2026-06-17 10:49:59, MOVE, v:1, k:ed@distancia, mode:EDIT
2026-06-17 10:49:59, MOVE, v:1, k:ed@distancia, mode:EDIT
2026-06-17 10:54:38, MOVE, v:1, k:ed@distancia, mode:EDIT
2026-06-17 10:54:38, MOVE, v:1, k:ed@distancia, mode:EDIT
2026-06-17 12:19:08, MOVE, v:1, k:ed@distancia, mode:PICK
2026-06-17 12:27:33, EXEC, v:1, k:ed@distancia, mode:FREE
2026-06-17 12:27:27, MOVE, v:1, k:ed@distancia, mode:EDIT
2026-06-17 12:27:27, MOVE, v:1, k:ed@distancia, mode:EDIT
2026-06-17 12:34:12, MOVE, v:1, k:ed@distancia, mode:EDIT
2026-06-17 12:34:12, MOVE, v:1, k:ed@distancia, mode:EDIT
2026-06-17 12:37:02, EXEC, v:1, k:ed@distancia, mode:FREE
2026-06-17 12:37:25, EXEC, v:1, k:ed@distancia, mode:FREE
2026-06-17 12:37:40, EXEC, v:1, k:ed@distancia, mode:FREE
2026-06-17 12:38:19, EXEC, v:1, k:ed@distancia, mode:FREE
2026-06-17 12:38:50, EXEC, v:1, k:ed@distancia, mode:FREE
2026-06-17 12:39:11, EXEC, v:1, k:ed@distancia, mode:FREE
2026-06-17 12:39:09, MOVE, v:1, k:ed@distancia, mode:EDIT
2026-06-17 12:39:09, MOVE, v:1, k:ed@distancia, mode:EDIT
2026-06-17 12:39:43, EXEC, v:1, k:ed@distancia, mode:FREE
2026-06-17 12:40:05, EXEC, v:1, k:ed@distancia, mode:FREE
2026-06-17 12:40:01, MOVE, v:1, k:ed@distancia, mode:EDIT
2026-06-17 12:40:01, MOVE, v:1, k:ed@distancia, mode:EDIT
2026-06-17 12:50:11, EXEC, v:1, k:ed@distancia, mode:FREE
2026-06-17 12:50:47, EXEC, v:1, k:ed@distancia, mode:FREE
2026-06-17 12:52:02, EXEC, v:1, k:ed@distancia, mode:FREE
2026-06-17 12:52:33, EXEC, v:1, k:ed@distancia, mode:FREE
2026-06-17 12:53:02, EXEC, v:1, k:ed@distancia, mode:FREE
2026-06-17 12:53:31, EXEC, v:1, k:ed@distancia, mode:FREE
2026-06-17 12:53:50, EXEC, v:1, k:ed@distancia, mode:FREE
2026-06-17 12:53:48, MOVE, v:1, k:ed@distancia, mode:EDIT
2026-06-17 12:53:48, MOVE, v:1, k:ed@distancia, mode:EDIT
2026-06-17 12:54:44, EXEC, v:1, k:ed@distancia, mode:FREE
2026-06-17 12:55:44, EXEC, v:1, k:ed@distancia, mode:FREE
2026-06-17 12:57:08, EXEC, v:1, k:ed@distancia, mode:FREE
2026-06-17 12:57:20, EXEC, v:1, k:ed@distancia, mode:FREE
2026-06-17 12:58:37, EXEC, v:1, k:ed@distancia, mode:FREE
2026-06-17 12:58:34, MOVE, v:1, k:ed@distancia, mode:EDIT
2026-06-17 12:58:34, MOVE, v:1, k:ed@distancia, mode:EDIT
2026-06-17 13:01:51, EXEC, v:1, k:ed@distancia, mode:FREE
2026-06-17 13:01:49, MOVE, v:1, k:ed@distancia, mode:EDIT
2026-06-17 13:01:49, MOVE, v:1, k:ed@distancia, mode:EDIT
2026-06-17 13:27:18, EXEC, v:1, k:ed@distancia, mode:FREE
2026-06-17 13:27:14, MOVE, v:1, k:ed@distancia, mode:EDIT
2026-06-17 13:27:14, MOVE, v:1, k:ed@distancia, mode:EDIT
2026-06-17 13:27:47, EXEC, v:1, k:ed@distancia, mode:FREE
2026-06-17 13:29:20, EXEC, v:1, k:ed@distancia, mode:FREE
2026-06-17 13:29:32, EXEC, v:1, k:ed@distancia, mode:FREE
2026-06-17 13:29:57, EXEC, v:1, k:ed@distancia, mode:FREE
2026-06-17 13:31:33, EXEC, v:1, k:ed@distancia, mode:FREE
2026-06-17 13:31:50, EXEC, v:1, k:ed@distancia, mode:FREE
2026-06-17 13:32:24, EXEC, v:1, k:ed@distancia, mode:FREE
2026-06-17 13:32:21, MOVE, v:1, k:ed@distancia, mode:EDIT
2026-06-17 13:32:21, MOVE, v:1, k:ed@distancia, mode:EDIT
